,electrical_conductivity
2025-08-26 02:33:49.786,4.000645161290323
2025-08-26 05:33:49.786,2.8148044692737435
2025-08-26 08:33:49.786,2.323896103896106
2025-08-26 11:33:49.786,0.0
2025-08-26 14:33:49.786,0.0
2025-08-26 17:33:49.786,4.633333333333333
2025-08-26 20:33:49.786,0.0
2025-08-26 23:33:49.786,0.0
2025-08-27 02:33:49.786,0.0
2025-08-27 05:33:49.786,0.0
2025-08-27 08:33:49.786,0.0
2025-08-27 11:33:49.786,0.0
2025-08-27 14:33:49.786,0.0
2025-08-27 17:33:49.786,0.0
2025-08-27 20:33:49.786,0.0
2025-08-27 23:33:49.786,0.0
2025-08-28 02:33:49.786,0.0
2025-08-28 05:33:49.786,0.0
2025-08-28 08:33:49.786,0.0
2025-08-28 11:33:49.786,0.0
2025-08-28 14:33:49.786,0.0
2025-08-28 17:33:49.786,0.0
2025-08-28 20:33:49.786,0.0
2025-08-28 23:33:49.786,0.0
2025-08-29 02:33:49.786,4.922765957446806
2025-08-29 05:33:49.786,4.744488636363642
2025-08-29 08:33:49.786,4.468882681564238
2025-08-29 11:33:49.786,4.143854748603351
2025-08-29 14:33:49.786,4.091333333333334
2025-08-29 17:33:49.786,4.168938547486041
2025-08-29 20:33:49.786,4.33622222222221
2025-08-29 23:33:49.786,4.469720670391057
2025-08-30 02:33:49.786,4.500055555555558
2025-08-30 05:33:49.786,4.327206703910612
2025-08-30 08:33:49.786,3.9502793296089393
2025-08-30 11:33:49.786,3.7913407821228953
2025-08-30 14:33:49.786,3.6813407821229007
2025-08-30 17:33:49.786,3.5806111111111085
2025-08-30 20:33:49.786,3.4041899441340906
2025-08-30 23:33:49.786,3.316611111111112
2025-08-31 02:33:49.786,3.2288826815642566
2025-08-31 05:33:49.786,3.1623463687150837
2025-08-31 08:33:49.786,2.896666666666665
2025-08-31 11:33:49.786,2.6217977528089893
2025-08-31 14:33:49.786,2.3895530726256973
2025-08-31 17:33:49.786,2.1017777777777793
2025-08-31 20:33:49.786,1.875586592178771
2025-08-31 23:33:49.786,1.8631666666666629
2025-09-01 02:33:49.786,2.0781564245810014
2025-09-01 05:33:49.786,2.11640449438203
2025-09-01 08:33:49.786,2.2298113207547177
2025-09-01 11:33:49.786,3.586
2025-09-01 14:33:49.786,0.815
2025-09-01 17:33:49.786,0.0
2025-09-01 20:33:49.786,4.96
2025-09-01 23:33:49.786,0.0
